LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1735039845.489565,5257866.000,6034,1,EA,1,100,0.031607
1735039845.556576,5257933.000,6053,1,EA,1,100,0.031610
1735039845.623087,5257999.500,6072,2,EA,1,100,0.031611
1735039845.689598,5258066.000,6072,2,EA,1,100,0.031613
1735039845.755608,5258132.000,6088,1,EA,1,100,0.031616
1735039845.822619,5258199.000,6104,2,EA,1,100,0.031616
1735039845.889630,5258266.000,6104,2,EA,1,100,0.031617
1735039845.955641,5258332.000,6120,1,EA,1,100,0.031620
1735039846.022651,5258399.000,6137,2,EA,1,100,0.031622
1735039846.089662,5258466.000,6137,2,EA,1,100,0.031624
1735039846.155673,5258532.000,6156,1,EA,1,100,0.031626
1735039846.222684,5258599.000,6172,2,EA,1,100,0.031627
1735039846.289695,5258666.000,6172,2,EA,1,100,0.031627
1735039846.355705,5258732.000,6191,1,EA,1,100,0.031631
1735039846.422716,5258799.000,6209,2,EA,1,100,0.031633
1735039846.489727,5258866.000,6209,2,EA,1,100,0.031634
1735039846.556238,5258932.500,6225,2,EA,1,100,0.031634
1735039846.622749,5258999.000,6225,2,EA,1,100,0.031635
1735039846.689760,5259066.000,6242,1,EA,1,100,0.031637
1735039846.756270,5259132.500,6257,2,EA,1,100,0.031640
1735039846.822781,5259199.000,6257,2,EA,1,100,0.031639
1735039846.889792,5259266.000,6274,1,EA,1,100,0.031640
1735039846.956303,5259332.500,6290,2,EA,1,100,0.031643
1735039847.022814,5259399.000,6290,2,EA,1,100,0.031646
1735039847.088824,5259465.000,6307,1,EA,1,100,0.031651
1735039847.155835,5259532.000,6322,2,EA,1,100,0.031655
1735039847.222846,5259599.000,6322,2,EA,1,100,0.031657
1735039847.288857,5259665.000,6339,1,EA,1,100,0.031660
1735039847.355868,5259732.000,6355,2,EA,1,100,0.031662
1735039847.422879,5259799.000,6355,2,EA,1,100,0.031664
1735039847.488889,5259865.000,6375,1,EA,1,100,0.031666
1735039847.555900,5259932.000,6389,2,EA,1,100,0.031671
1735039847.622911,5259999.000,6389,2,EA,1,100,0.031674
1735039847.688921,5260065.000,6408,1,EA,1,100,0.031677
1735039847.755932,5260132.000,6425,2,EA,1,100,0.031680
1735039847.822943,5260199.000,6425,2,EA,1,100,0.031684
1735039847.889954,5260266.000,6442,1,EA,1,100,0.031687
1735039847.956465,5260332.500,6458,2,EA,1,100,0.031686
1735039848.022976,5260399.000,6458,2,EA,1,100,0.031689
1735039848.088986,5260465.000,6475,1,EA,1,100,0.031692
1735039848.155997,5260532.000,6496,2,EA,1,100,0.031695
1735039848.223008,5260599.000,6496,2,EA,1,100,0.031698
1735039848.289019,5260665.000,6513,1,EA,1,100,0.031699
1735039848.356030,5260732.000,6528,2,EA,1,100,0.031702
1735039848.423041,5260799.000,6528,2,EA,1,100,0.031703
1735039848.489051,5260865.000,6545,1,EA,1,100,0.031703
