LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1732002861.175314,1556285.000,52224,1,EA,1,100,0.066543
1732002861.242315,1556352.000,52240,1,EA,1,100,0.066546
1732002861.308816,1556418.500,52260,2,EA,1,100,0.066551
1732002861.375317,1556485.000,52260,2,EA,1,100,0.066560
1732002861.442318,1556552.000,52276,1,EA,1,100,0.066565
1732002861.508819,1556618.500,52292,2,EA,1,100,0.066570
1732002861.575320,1556685.000,52292,2,EA,1,100,0.066577
1732002861.642321,1556752.000,52307,1,EA,1,100,0.066583
1732002861.708822,1556818.500,52325,2,EA,1,100,0.066588
1732002861.775323,1556885.000,52325,2,EA,1,100,0.066596
1732002861.841824,1556951.500,52341,2,EA,1,100,0.066604
1732002861.908324,1557018.000,52341,2,EA,1,100,0.066611
1732002861.975326,1557085.000,52358,1,EA,1,100,0.066618
1732002862.041826,1557151.500,52375,2,EA,1,100,0.066621
1732002862.108328,1557218.000,52375,2,EA,1,100,0.066629
1732002862.175328,1557285.000,52394,1,EA,1,100,0.066636
1732002862.241829,1557351.500,52412,2,EA,1,100,0.066639
1732002862.308331,1557418.000,52412,2,EA,1,100,0.066644
1732002862.375331,1557485.000,52430,1,EA,1,100,0.066651
1732002862.441833,1557551.500,52448,2,EA,1,100,0.066656
1732002862.508333,1557618.000,52448,2,EA,1,100,0.066661
1732002862.575335,1557685.000,52465,1,EA,1,100,0.066666
1732002862.641835,1557751.500,52482,2,EA,1,100,0.066674
1732002862.708336,1557818.000,52482,2,EA,1,100,0.066680
1732002862.775337,1557885.000,52503,1,EA,1,100,0.066683
1732002862.841838,1557951.500,52517,2,EA,1,100,0.066689
1732002862.908339,1558018.000,52517,2,EA,1,100,0.066696
1732002862.975340,1558085.000,52534,1,EA,1,100,0.066704
1732002863.041841,1558151.500,52553,2,EA,1,100,0.066707
1732002863.108342,1558218.000,52553,2,EA,1,100,0.066710
1732002863.175343,1558285.000,52570,1,EA,1,100,0.066716
1732002863.242011,1558351.667,52590,3,EA,1,100,0.066723
1732002863.308679,1558418.333,52590,3,EA,1,100,0.066726
1732002863.375346,1558485.000,52590,3,EA,1,100,0.066731
1732002863.441347,1558551.000,52607,1,EA,1,100,0.066738
1732002863.508348,1558618.000,52623,2,EA,1,100,0.066748
1732002863.575349,1558685.000,52623,2,EA,1,100,0.066751
1732002863.641350,1558751.000,52642,1,EA,1,100,0.066758
1732002863.708351,1558818.000,52659,2,EA,1,100,0.066764
1732002863.775352,1558885.000,52659,2,EA,1,100,0.066770
1732002863.841353,1558951.000,52678,1,EA,1,100,0.066774
1732002863.908354,1559018.000,52693,2,EA,1,100,0.066780
1732002863.975355,1559085.000,52693,2,EA,1,100,0.066787
1732002864.041856,1559151.500,52710,2,EA,1,100,0.066796
1732002864.108357,1559218.000,52710,2,EA,1,100,0.066806
1732002864.175358,1559285.000,52726,1,EA,1,100,0.066816
1732002864.241859,1559351.500,52743,2,EA,1,100,0.066824
1732002864.308360,1559418.000,52743,2,EA,1,100,0.066830
1732002864.375361,1559485.000,52762,1,EA,1,100,0.066832
1732002864.441862,1559551.500,52779,2,EA,1,100,0.066840
1732002864.508363,1559618.000,52779,2,EA,1,100,0.066847
1732002864.575364,1559685.000,52797,1,EA,1,100,0.066852
1732002864.641865,1559751.500,52815,2,EA,1,100,0.066855
1732002864.708366,1559818.000,52815,2,EA,1,100,0.066863
1732002864.775367,1559885.000,52831,1,EA,1,100,0.066864
1732002864.841868,1559951.500,52846,2,EA,1,100,0.066873
1732002864.908369,1560018.000,52846,2,EA,1,100,0.066879
1732002864.975370,1560085.000,52862,1,EA,1,100,0.066887
1732002865.041871,1560151.500,52882,2,EA,1,100,0.066894
1732002865.108372,1560218.000,52882,2,EA,1,100,0.066895
1732002865.175373,1560285.000,52898,1,EA,1,100,0.066901
1732002865.241874,1560351.500,52915,2,EA,1,100,0.066908
1732002865.308375,1560418.000,52915,2,EA,1,100,0.066914
1732002865.375376,1560485.000,52932,1,EA,1,100,0.066915
1732002865.441877,1560551.500,52949,2,EA,1,100,0.066920
1732002865.508378,1560618.000,52949,2,EA,1,100,0.066927
1732002865.575379,1560685.000,52965,1,EA,1,100,0.066931
1732002865.641880,1560751.500,52981,2,EA,1,100,0.066936
1732002865.708381,1560818.000,52981,2,EA,1,100,0.066947
1732002865.774382,1560884.000,52997,1,EA,1,100,0.066951
1732002865.841383,1560951.000,53014,2,EA,1,100,0.066957
1732002865.908384,1561018.000,53014,2,EA,1,100,0.066965
1732002865.974385,1561084.000,53030,1,EA,1,100,0.066970
1732002866.041386,1561151.000,53049,2,EA,1,100,0.066969
1732002866.108387,1561218.000,53049,2,EA,1,100,0.066974
1732002866.174388,1561284.000,53066,1,EA,1,100,0.066975
1732002866.241389,1561351.000,53083,2,EA,1,100,0.066981
1732002866.308390,1561418.000,53083,2,EA,1,100,0.066988
1732002866.374891,1561484.500,53100,2,EA,1,100,0.066989
1732002866.441392,1561551.000,53100,2,EA,1,100,0.066995
1732002866.508393,1561618.000,53117,1,EA,1,100,0.066998
1732002866.574894,1561684.500,53133,2,EA,1,100,0.067006
1732002866.641395,1561751.000,53133,2,EA,1,100,0.067015
1732002866.708396,1561818.000,53151,1,EA,1,100,0.067024
1732002866.774897,1561884.500,53169,2,EA,1,100,0.067026
1732002866.841398,1561951.000,53169,2,EA,1,100,0.067030
1732002866.908399,1562018.000,53186,1,EA,1,100,0.067034
1732002866.974900,1562084.500,53201,2,EA,1,100,0.067039
1732002867.041401,1562151.000,53201,2,EA,1,100,0.067044
1732002867.108402,1562218.000,53218,1,EA,1,100,0.067051
1732002867.174903,1562284.500,53234,2,EA,1,100,0.067061
1732002867.241404,1562351.000,53234,2,EA,1,100,0.067066
1732002867.308404,1562418.000,53253,1,EA,1,100,0.067070
1732002867.374906,1562484.500,53270,2,EA,1,100,0.067078
1732002867.441406,1562551.000,53270,2,EA,1,100,0.067083
1732002867.508408,1562618.000,53289,1,EA,1,100,0.067091
1732002867.574908,1562684.500,53305,2,EA,1,100,0.067098
1732002867.641409,1562751.000,53305,2,EA,1,100,0.067103
1732002867.708411,1562818.000,53325,1,EA,1,100,0.067103
1732002867.774911,1562884.500,53339,2,EA,1,100,0.067111
1732002867.841413,1562951.000,53339,2,EA,1,100,0.067120
1732002867.908413,1563018.000,53356,1,EA,1,100,0.067127
1732002867.974914,1563084.500,53375,2,EA,1,100,0.067131
1732002868.041415,1563151.000,53375,2,EA,1,100,0.067136
1732002868.108416,1563218.000,53392,1,EA,1,100,0.067140
1732002868.174917,1563284.500,53409,2,EA,1,100,0.067147
1732002868.241418,1563351.000,53409,2,EA,1,100,0.067156
1732002868.308419,1563418.000,53425,1,EA,1,100,0.067165
1732002868.374754,1563484.333,53447,3,EA,1,100,0.067171
1732002868.441088,1563550.667,53447,3,EA,1,100,0.067181
1732002868.507422,1563617.000,53447,3,EA,1,100,0.067192
1732002868.574423,1563684.000,53464,1,EA,1,100,0.067197
1732002868.641424,1563751.000,53483,2,EA,1,100,0.067201
1732002868.708425,1563818.000,53483,2,EA,1,100,0.067209
1732002868.774426,1563884.000,53500,1,EA,1,100,0.067214
1732002868.840927,1563950.500,53514,2,EA,1,100,0.067222
1732002868.907428,1564017.000,53514,2,EA,1,100,0.067227
1732002868.974429,1564084.000,53533,1,EA,1,100,0.067237
1732002869.040930,1564150.500,53550,2,EA,1,100,0.067240
1732002869.107431,1564217.000,53550,2,EA,1,100,0.067244
1732002869.174432,1564284.000,53567,1,EA,1,100,0.067249
1732002869.240933,1564350.500,53581,2,EA,1,100,0.067253
1732002869.307434,1564417.000,53581,2,EA,1,100,0.067259
1732002869.374435,1564484.000,53599,1,EA,1,100,0.067266
1732002869.440936,1564550.500,53615,2,EA,1,100,0.067268
1732002869.507437,1564617.000,53615,2,EA,1,100,0.067270
1732002869.574438,1564684.000,53634,1,EA,1,100,0.067277
1732002869.640939,1564750.500,53649,2,EA,1,100,0.067284
1732002869.707440,1564817.000,53649,2,EA,1,100,0.067291
1732002869.774441,1564884.000,53666,1,EA,1,100,0.067300
1732002869.840942,1564950.500,53684,2,EA,1,100,0.067304
1732002869.907443,1565017.000,53684,2,EA,1,100,0.067309
1732002869.974444,1565084.000,53701,1,EA,1,100,0.067313
1732002870.040945,1565150.500,53717,2,EA,1,100,0.067318
1732002870.107446,1565217.000,53717,2,EA,1,100,0.067326
1732002870.174447,1565284.000,53735,2,EA,1,100,0.067332
1732002870.241448,1565351.000,53735,2,EA,1,100,0.067336
1732002870.307449,1565417.000,53751,1,EA,1,100,0.067345
1732002870.374450,1565484.000,53771,2,EA,1,100,0.067349
1732002870.441451,1565551.000,53771,2,EA,1,100,0.067356
1732002870.507452,1565617.000,53787,1,EA,1,100,0.067365
1732002870.574453,1565684.000,53804,2,EA,1,100,0.067371
1732002870.641454,1565751.000,53804,2,EA,1,100,0.067375
1732002870.707455,1565817.000,53821,1,EA,1,100,0.067383
1732002870.774456,1565884.000,53840,2,EA,1,100,0.067389
1732002870.841457,1565951.000,53840,2,EA,1,100,0.067389
1732002870.907458,1566017.000,53856,1,EA,1,100,0.067395
1732002870.974459,1566084.000,53874,2,EA,1,100,0.067403
1732002871.041460,1566151.000,53874,2,EA,1,100,0.067409
1732002871.107461,1566217.000,53890,1,EA,1,100,0.067416
1732002871.174462,1566284.000,53909,2,EA,1,100,0.067423
1732002871.241463,1566351.000,53909,2,EA,1,100,0.067430
1732002871.307464,1566417.000,53927,1,EA,1,100,0.067432
1732002871.373965,1566483.500,53943,2,EA,1,100,0.067440
1732002871.440466,1566550.000,53943,2,EA,1,100,0.067445
1732002871.507467,1566617.000,53959,1,EA,1,100,0.067447
1732002871.573968,1566683.500,53976,2,EA,1,100,0.067453
1732002871.640469,1566750.000,53976,2,EA,1,100,0.067458
1732002871.707470,1566817.000,53993,1,EA,1,100,0.067464
1732002871.773971,1566883.500,54009,2,EA,1,100,0.067472
1732002871.840472,1566950.000,54009,2,EA,1,100,0.067476
1732002871.907473,1567017.000,54026,1,EA,1,100,0.067483
1732002871.974474,1567084.000,54044,2,EA,1,100,0.067488
1732002872.041475,1567151.000,54044,2,EA,1,100,0.067495
1732002872.107976,1567217.500,54060,2,EA,1,100,0.067499
1732002872.174477,1567284.000,54060,2,EA,1,100,0.067504
1732002872.240478,1567350.000,54077,1,EA,1,100,0.067509
1732002872.307479,1567417.000,54092,2,EA,1,100,0.067513
1732002872.374480,1567484.000,54092,2,EA,1,100,0.067519
1732002872.441481,1567551.000,54111,1,EA,1,100,0.067527
1732002872.507982,1567617.500,54127,2,EA,1,100,0.067533
1732002872.574482,1567684.000,54127,2,EA,1,100,0.067538
1732002872.640484,1567750.000,54146,1,EA,1,100,0.067546
1732002872.707484,1567817.000,54163,2,EA,1,100,0.067550
1732002872.774486,1567884.000,54163,2,EA,1,100,0.067555
1732002872.840487,1567950.000,54180,1,EA,1,100,0.067560
1732002872.907487,1568017.000,54196,2,EA,1,100,0.067565
1732002872.974488,1568084.000,54196,2,EA,1,100,0.067571
1732002873.040489,1568150.000,54214,1,EA,1,100,0.067576
1732002873.107491,1568217.000,54228,2,EA,1,100,0.067582
1732002873.174491,1568284.000,54228,2,EA,1,100,0.067590
1732002873.240492,1568350.000,54245,1,EA,1,100,0.067597
1732002873.307493,1568417.000,54262,2,EA,1,100,0.067602
1732002873.374494,1568484.000,54262,2,EA,1,100,0.067609
1732002873.440495,1568550.000,54281,1,EA,1,100,0.067615
1732002873.507163,1568616.667,54300,3,EA,1,100,0.067621
1732002873.573831,1568683.333,54300,3,EA,1,100,0.067628
1732002873.640498,1568750.000,54300,3,EA,1,100,0.067634
1732002873.707499,1568817.000,54320,1,EA,1,100,0.067638
1732002873.774000,1568883.500,54334,2,EA,1,100,0.067643
1732002873.840501,1568950.000,54334,2,EA,1,100,0.067650
1732002873.907502,1569017.000,54351,1,EA,1,100,0.067657
1732002873.974003,1569083.500,54368,2,EA,1,100,0.067660
1732002874.040504,1569150.000,54368,2,EA,1,100,0.067667
1732002874.107505,1569217.000,54385,1,EA,1,100,0.067675
1732002874.174006,1569283.500,54403,2,EA,1,100,0.067680
