LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1734239508.126124,811337.000,63595,1,EA,1,100,0.066966
1734239508.192625,811403.500,63614,2,EA,1,100,0.066971
1734239508.259126,811470.000,63614,2,EA,1,100,0.066962
1734239508.325627,811536.500,63632,2,EA,1,100,0.066963
1734239508.392128,811603.000,63632,2,EA,1,100,0.066967
1734239508.459129,811670.000,63648,1,EA,1,100,0.066975
1734239508.525630,811736.500,63665,2,EA,1,100,0.066986
1734239508.592130,811803.000,63665,2,EA,1,100,0.066999
1734239508.659131,811870.000,63681,1,EA,1,100,0.066996
1734239508.725632,811936.500,63700,2,EA,1,100,0.066996
1734239508.792133,812003.000,63700,2,EA,1,100,0.067006
1734239508.859134,812070.000,63715,2,EA,1,100,0.067011
1734239508.926135,812137.000,63715,2,EA,1,100,0.067015
1734239508.992136,812203.000,63732,1,EA,1,100,0.067020
1734239509.058637,812269.500,63751,2,EA,1,100,0.067033
1734239509.125138,812336.000,63751,2,EA,1,100,0.067032
1734239509.192138,812403.000,63770,1,EA,1,100,0.067033
1734239509.258639,812469.500,63784,2,EA,1,100,0.067037
1734239509.325140,812536.000,63784,2,EA,1,100,0.067046
1734239509.392141,812603.000,63802,1,EA,1,100,0.067059
1734239509.458642,812669.500,63820,2,EA,1,100,0.067065
1734239509.525143,812736.000,63820,2,EA,1,100,0.067062
1734239509.592144,812803.000,63837,1,EA,1,100,0.067069
1734239509.658644,812869.500,63854,2,EA,1,100,0.067066
1734239509.725145,812936.000,63854,2,EA,1,100,0.067062
1734239509.792146,813003.000,63871,1,EA,1,100,0.067065
1734239509.858647,813069.500,63887,2,EA,1,100,0.067067
1734239509.925148,813136.000,63887,2,EA,1,100,0.067074
1734239509.992149,813203.000,63904,1,EA,1,100,0.067083
1734239510.058650,813269.500,63919,2,EA,1,100,0.067088
1734239510.125151,813336.000,63919,2,EA,1,100,0.067093
1734239510.192152,813403.000,63936,1,EA,1,100,0.067099
