LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1734852108.363092,4850423.000,64316,1,EA,1,100,0.030183
1734852108.430093,4850490.000,64330,1,EA,1,100,0.030183
1734852108.496594,4850556.500,64350,2,EA,1,100,0.030182
1734852108.563095,4850623.000,64350,2,EA,1,100,0.030183
1734852108.629095,4850689.000,64366,1,EA,1,100,0.030182
1734852108.696096,4850756.000,64382,2,EA,1,100,0.030182
1734852108.763097,4850823.000,64382,2,EA,1,100,0.030182
1734852108.829098,4850889.000,64398,1,EA,1,100,0.030183
1734852108.896098,4850956.000,64415,2,EA,1,100,0.030183
1734852108.963099,4851023.000,64415,2,EA,1,100,0.030183
1734852109.029600,4851089.500,64431,2,EA,1,100,0.030183
1734852109.096101,4851156.000,64431,2,EA,1,100,0.030183
1734852109.163101,4851223.000,64449,1,EA,1,100,0.030183
1734852109.229602,4851289.500,64463,2,EA,1,100,0.030183
1734852109.296103,4851356.000,64463,2,EA,1,100,0.030183
1734852109.363104,4851423.000,64480,1,EA,1,100,0.030183
1734852109.429605,4851489.500,64497,2,EA,1,100,0.030183
1734852109.496105,4851556.000,64497,2,EA,1,100,0.030183
1734852109.563106,4851623.000,64514,1,EA,1,100,0.030183
1734852109.629607,4851689.500,64528,2,EA,1,100,0.030183
1734852109.696107,4851756.000,64528,2,EA,1,100,0.030183
1734852109.763108,4851823.000,64545,1,EA,1,100,0.030183
1734852109.829609,4851889.500,64562,2,EA,1,100,0.030183
1734852109.896110,4851956.000,64562,2,EA,1,100,0.030183
1734852109.963110,4852023.000,64579,1,EA,1,100,0.030184
1734852110.029611,4852089.500,64598,2,EA,1,100,0.030183
1734852110.096112,4852156.000,64598,2,EA,1,100,0.030184
1734852110.162613,4852222.500,64618,2,EA,1,100,0.030184
1734852110.229114,4852289.000,64618,2,EA,1,100,0.030184
1734852110.296114,4852356.000,64633,2,EA,1,100,0.030184
1734852110.363115,4852423.000,64633,2,EA,1,100,0.030183
1734852110.429116,4852489.000,64650,1,EA,1,100,0.030184
1734852110.496116,4852556.000,64667,2,EA,1,100,0.030183
1734852110.563117,4852623.000,64667,2,EA,1,100,0.030184
1734852110.629118,4852689.000,64684,1,EA,1,100,0.030184
1734852110.695619,4852755.500,64698,2,EA,1,100,0.030183
1734852110.762120,4852822.000,64698,2,EA,1,100,0.030184
1734852110.829120,4852889.000,64716,1,EA,1,100,0.030184
1734852110.895621,4852955.500,64732,2,EA,1,100,0.030183
1734852110.962122,4853022.000,64732,2,EA,1,100,0.030183
1734852111.029123,4853089.000,64749,1,EA,1,100,0.030184
1734852111.095623,4853155.500,64764,2,EA,1,100,0.030184
1734852111.162124,4853222.000,64764,2,EA,1,100,0.030184
1734852111.229125,4853289.000,64781,1,EA,1,100,0.030183
1734852111.295625,4853355.500,64799,2,EA,1,100,0.030183
1734852111.362126,4853422.000,64799,2,EA,1,100,0.030184
1734852111.429127,4853489.000,64816,1,EA,1,100,0.030183
1734852111.495628,4853555.500,64831,2,EA,1,100,0.030183
1734852111.562129,4853622.000,64831,2,EA,1,100,0.030183
1734852111.629129,4853689.000,64848,1,EA,1,100,0.030183
1734852111.695630,4853755.500,64866,2,EA,1,100,0.030183
1734852111.762131,4853822.000,64866,2,EA,1,100,0.030183
1734852111.829132,4853889.000,64884,1,EA,1,100,0.030183
1734852111.895632,4853955.500,64898,2,EA,1,100,0.030183
