LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1732950847.536354,1554542.000,51643,1,EA,1,100,0.174498
1732950847.602855,1554608.500,51662,2,EA,1,100,0.174489
1732950847.669356,1554675.000,51662,2,EA,1,100,0.174554
1732950847.736357,1554742.000,51682,2,EA,1,100,0.174585
1732950847.803358,1554809.000,51682,2,EA,1,100,0.174550
1732950847.869859,1554875.500,51698,2,EA,1,100,0.174664
1732950847.936360,1554942.000,51698,2,EA,1,100,0.174712
1732950848.002861,1555008.500,51715,2,EA,1,100,0.174743
1732950848.069362,1555075.000,51715,2,EA,1,100,0.174818
1732950848.136363,1555142.000,51734,1,EA,1,100,0.174809
1732950848.202863,1555208.500,51751,2,EA,1,100,0.174862
1732950848.269364,1555275.000,51751,2,EA,1,100,0.174932
1732950848.335865,1555341.500,51769,2,EA,1,100,0.174831
1732950848.402366,1555408.000,51769,2,EA,1,100,0.174946
1732950848.469367,1555475.000,51787,1,EA,1,100,0.175060
1732950848.536368,1555542.000,51803,2,EA,1,100,0.175060
1732950848.603369,1555609.000,51803,2,EA,1,100,0.175056
1732950848.669370,1555675.000,51820,1,EA,1,100,0.175082
1732950848.736371,1555742.000,51837,2,EA,1,100,0.174994
1732950848.803372,1555809.000,51837,2,EA,1,100,0.174946
1732950848.869373,1555875.000,51854,1,EA,1,100,0.174836
1732950848.935874,1555941.500,51868,2,EA,1,100,0.174792
1732950849.002375,1556008.000,51868,2,EA,1,100,0.174778
1732950849.069376,1556075.000,51885,1,EA,1,100,0.174734
1732950849.136376,1556142.000,51902,2,EA,1,100,0.174524
1732950849.203377,1556209.000,51902,2,EA,1,100,0.174506
1732950849.269378,1556275.000,51919,1,EA,1,100,0.174498
1732950849.335879,1556341.500,51933,2,EA,1,100,0.174454
1732950849.402380,1556408.000,51933,2,EA,1,100,0.174467
1732950849.469381,1556475.000,51951,1,EA,1,100,0.174458
1732950849.535882,1556541.500,51967,2,EA,1,100,0.174388
1732950849.602383,1556608.000,51967,2,EA,1,100,0.174419
1732950849.669384,1556675.000,51984,1,EA,1,100,0.174327
1732950849.735885,1556741.500,52000,2,EA,1,100,0.174257
1732950849.802386,1556808.000,52000,2,EA,1,100,0.174231
