LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1734938070.395864,1422178.000,30998,1,EA,1,100,0.179587
1734938070.462364,1422244.500,31018,2,EA,1,100,0.179597
1734938070.528865,1422311.000,31018,2,EA,1,100,0.179578
1734938070.595866,1422378.000,31035,2,EA,1,100,0.179536
1734938070.662867,1422445.000,31035,2,EA,1,100,0.179527
1734938070.728868,1422511.000,31051,1,EA,1,100,0.179546
1734938070.795869,1422578.000,31068,2,EA,1,100,0.179555
1734938070.862870,1422645.000,31068,2,EA,1,100,0.179592
1734938070.928870,1422711.000,31087,1,EA,1,100,0.179634
1734938070.995871,1422778.000,31102,2,EA,1,100,0.179699
1734938071.062872,1422845.000,31102,2,EA,1,100,0.179764
1734938071.128873,1422911.000,31118,1,EA,1,100,0.179819
1734938071.195874,1422978.000,31136,2,EA,1,100,0.179833
1734938071.262875,1423045.000,31136,2,EA,1,100,0.179926
1734938071.328876,1423111.000,31154,1,EA,1,100,0.180038
1734938071.395876,1423178.000,31169,2,EA,1,100,0.180136
1734938071.462877,1423245.000,31169,2,EA,1,100,0.180271
1734938071.528878,1423311.000,31185,1,EA,1,100,0.180406
1734938071.595879,1423378.000,31203,2,EA,1,100,0.180519
1734938071.662880,1423445.000,31203,2,EA,1,100,0.180664
1734938071.728880,1423511.000,31219,1,EA,1,100,0.180805
1734938071.795881,1423578.000,31235,2,EA,1,100,0.180941
1734938071.862882,1423645.000,31235,2,EA,1,100,0.181054
1734938071.928883,1423711.000,31253,1,EA,1,100,0.181139
1734938071.995884,1423778.000,31272,2,EA,1,100,0.181158
1734938072.062885,1423845.000,31272,2,EA,1,100,0.181224
1734938072.129385,1423911.500,31290,2,EA,1,100,0.181275
1734938072.195886,1423978.000,31290,2,EA,1,100,0.181285
1734938072.262887,1424045.000,31308,1,EA,1,100,0.181318
1734938072.329388,1424111.500,31322,2,EA,1,100,0.181351
1734938072.395889,1424178.000,31322,2,EA,1,100,0.181323
1734938072.461890,1424244.000,31339,1,EA,1,100,0.181304
1734938072.528891,1424311.000,31358,2,EA,1,100,0.181323
1734938072.595891,1424378.000,31358,2,EA,1,100,0.181304
1734938072.661892,1424444.000,31375,1,EA,1,100,0.181290
1734938072.728893,1424511.000,31389,2,EA,1,100,0.181294
1734938072.795894,1424578.000,31389,2,EA,1,100,0.181214
1734938072.861895,1424644.000,31406,1,EA,1,100,0.181172
1734938072.928896,1424711.000,31423,2,EA,1,100,0.181172
1734938072.995896,1424778.000,31423,2,EA,1,100,0.181153
1734938073.061897,1424844.000,31440,1,EA,1,100,0.181101
1734938073.128898,1424911.000,31456,2,EA,1,100,0.181044
1734938073.195899,1424978.000,31456,2,EA,1,100,0.180983
1734938073.262900,1425045.000,31474,1,EA,1,100,0.180927
1734938073.329401,1425111.500,31490,2,EA,1,100,0.180838
1734938073.395901,1425178.000,31490,2,EA,1,100,0.180786
1734938073.462902,1425245.000,31507,1,EA,1,100,0.180730
1734938073.529403,1425311.500,31523,2,EA,1,100,0.180687
1734938073.595904,1425378.000,31523,2,EA,1,100,0.180617
1734938073.662905,1425445.000,31539,1,EA,1,100,0.180547
1734938073.729406,1425511.500,31557,2,EA,1,100,0.180486
1734938073.795907,1425578.000,31557,2,EA,1,100,0.180425
1734938073.862407,1425644.500,31575,2,EA,1,100,0.180374
1734938073.928908,1425711.000,31575,2,EA,1,100,0.180294
1734938073.995909,1425778.000,31591,1,EA,1,100,0.180196
1734938074.062410,1425844.500,31606,2,EA,1,100,0.180154
1734938074.128911,1425911.000,31606,2,EA,1,100,0.180080
1734938074.195912,1425978.000,31622,1,EA,1,100,0.180024
1734938074.262412,1426044.500,31642,2,EA,1,100,0.179968
1734938074.328913,1426111.000,31642,2,EA,1,100,0.179875
1734938074.395914,1426178.000,31658,1,EA,1,100,0.179778
1734938074.462415,1426244.500,31673,2,EA,1,100,0.179694
1734938074.528916,1426311.000,31673,2,EA,1,100,0.179634
1734938074.595917,1426378.000,31690,1,EA,1,100,0.179592
1734938074.662417,1426444.500,31707,2,EA,1,100,0.179490
1734938074.728918,1426511.000,31707,2,EA,1,100,0.179393
1734938074.795919,1426578.000,31723,1,EA,1,100,0.179310
1734938074.862420,1426644.500,31739,2,EA,1,100,0.179254
1734938074.928921,1426711.000,31739,2,EA,1,100,0.179218
1734938074.995922,1426778.000,31755,1,EA,1,100,0.179148
1734938075.062423,1426844.500,31772,2,EA,1,100,0.179065
1734938075.128923,1426911.000,31772,2,EA,1,100,0.179010
1734938075.195924,1426978.000,31788,1,EA,1,100,0.178937
1734938075.262425,1427044.500,31804,2,EA,1,100,0.178914
1734938075.328926,1427111.000,31804,2,EA,1,100,0.178904
1734938075.395927,1427178.000,31820,1,EA,1,100,0.178877
1734938075.462428,1427244.500,31837,2,EA,1,100,0.178803
1734938075.528928,1427311.000,31837,2,EA,1,100,0.178757
1734938075.595929,1427378.000,31859,1,EA,1,100,0.178721
1734938075.662430,1427444.500,31879,2,EA,1,100,0.178679
1734938075.728931,1427511.000,31879,2,EA,1,100,0.178643
1734938075.795932,1427578.000,31894,1,EA,1,100,0.178592
1734938075.862432,1427644.500,31912,2,EA,1,100,0.178569
1734938075.928933,1427711.000,31912,2,EA,1,100,0.178547
1734938075.995434,1427777.500,31928,2,EA,1,100,0.178505
1734938076.061935,1427844.000,31928,2,EA,1,100,0.178473
1734938076.128936,1427911.000,31945,1,EA,1,100,0.178423
1734938076.195437,1427977.500,31960,2,EA,1,100,0.178364
1734938076.261938,1428044.000,31960,2,EA,1,100,0.178322
1734938076.328938,1428111.000,31977,1,EA,1,100,0.178281
1734938076.395439,1428177.500,31995,2,EA,1,100,0.178295
1734938076.461940,1428244.000,31995,2,EA,1,100,0.178318
1734938076.528941,1428311.000,32012,1,EA,1,100,0.178322
1734938076.595442,1428377.500,32027,2,EA,1,100,0.178281
1734938076.661943,1428444.000,32027,2,EA,1,100,0.178227
1734938076.728944,1428511.000,32044,1,EA,1,100,0.178213
1734938076.795444,1428577.500,32060,2,EA,1,100,0.178195
1734938076.861945,1428644.000,32060,2,EA,1,100,0.178176
1734938076.928946,1428711.000,32078,1,EA,1,100,0.178172
1734938076.995447,1428777.500,32094,2,EA,1,100,0.178172
1734938077.061948,1428844.000,32094,2,EA,1,100,0.178149
1734938077.128948,1428911.000,32111,1,EA,1,100,0.178149
1734938077.195449,1428977.500,32128,2,EA,1,100,0.178190
1734938077.261950,1429044.000,32128,2,EA,1,100,0.178144
1734938077.328951,1429111.000,32145,1,EA,1,100,0.178081
1734938077.395452,1429177.500,32159,2,EA,1,100,0.178081
1734938077.461953,1429244.000,32159,2,EA,1,100,0.178044
1734938077.528954,1429311.000,32176,1,EA,1,100,0.178035
1734938077.595454,1429377.500,32193,2,EA,1,100,0.178035
1734938077.661955,1429444.000,32193,2,EA,1,100,0.178003
1734938077.728956,1429511.000,32210,1,EA,1,100,0.177971
1734938077.795457,1429577.500,32225,2,EA,1,100,0.177894
1734938077.861958,1429644.000,32225,2,EA,1,100,0.177853
1734938077.928959,1429711.000,32242,1,EA,1,100,0.177849
1734938077.995460,1429777.500,32258,2,EA,1,100,0.177790
1734938078.061960,1429844.000,32258,2,EA,1,100,0.177790
1734938078.128461,1429910.500,32277,2,EA,1,100,0.177794
1734938078.194962,1429977.000,32277,2,EA,1,100,0.177771
1734938078.261963,1430044.000,32294,1,EA,1,100,0.177758
1734938078.328464,1430110.500,32309,2,EA,1,100,0.177776
1734938078.394964,1430177.000,32309,2,EA,1,100,0.177762
1734938078.461965,1430244.000,32325,1,EA,1,100,0.177744
1734938078.528466,1430310.500,32343,2,EA,1,100,0.177740
1734938078.594967,1430377.000,32343,2,EA,1,100,0.177758
1734938078.661968,1430444.000,32359,1,EA,1,100,0.177758
1734938078.728469,1430510.500,32376,2,EA,1,100,0.177781
1734938078.794970,1430577.000,32376,2,EA,1,100,0.177776
1734938078.861970,1430644.000,32392,1,EA,1,100,0.177790
1734938078.928471,1430710.500,32410,2,EA,1,100,0.177794
1734938078.994972,1430777.000,32410,2,EA,1,100,0.177821
1734938079.061973,1430844.000,32426,1,EA,1,100,0.177817
1734938079.128474,1430910.500,32441,2,EA,1,100,0.177799
1734938079.194975,1430977.000,32441,2,EA,1,100,0.177826
1734938079.261976,1431044.000,32458,1,EA,1,100,0.177821
1734938079.328476,1431110.500,32475,2,EA,1,100,0.177821
1734938079.394977,1431177.000,32475,2,EA,1,100,0.177794
1734938079.461978,1431244.000,32493,1,EA,1,100,0.177767
1734938079.528479,1431310.500,32510,2,EA,1,100,0.177744
1734938079.594980,1431377.000,32510,2,EA,1,100,0.177771
1734938079.661980,1431444.000,32525,1,EA,1,100,0.177785
1734938079.728481,1431510.500,32542,2,EA,1,100,0.177831
1734938079.794982,1431577.000,32542,2,EA,1,100,0.177894
