LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1733214108.465662,679636.000,40475,1,EA,1,100,0.230283
1733214108.532663,679703.000,40499,2,EA,1,100,0.230199
1733214108.599664,679770.000,40499,2,EA,1,100,0.230161
1733214108.666165,679836.500,40516,2,EA,1,100,0.230207
1733214108.732666,679903.000,40516,2,EA,1,100,0.230169
1733214108.799167,679969.500,40533,2,EA,1,100,0.230161
1733214108.865668,680036.000,40533,2,EA,1,100,0.230214
1733214108.932668,680103.000,40550,1,EA,1,100,0.230306
1733214108.999169,680169.500,40565,2,EA,1,100,0.230398
1733214109.065670,680236.000,40565,2,EA,1,100,0.230375
1733214109.132671,680303.000,40584,2,EA,1,100,0.230390
1733214109.199672,680370.000,40584,2,EA,1,100,0.230321
1733214109.265673,680436.000,40600,1,EA,1,100,0.230344
1733214109.332674,680503.000,40617,2,EA,1,100,0.230405
1733214109.399675,680570.000,40617,2,EA,1,100,0.230421
1733214109.465676,680636.000,40633,1,EA,1,100,0.230413
1733214109.532677,680703.000,40649,2,EA,1,100,0.230413
1733214109.599678,680770.000,40649,2,EA,1,100,0.230398
1733214109.665679,680836.000,40665,1,EA,1,100,0.230459
1733214109.732680,680903.000,40682,2,EA,1,100,0.230528
1733214109.799680,680970.000,40682,2,EA,1,100,0.230520
1733214109.865681,681036.000,40699,1,EA,1,100,0.230520
1733214109.932682,681103.000,40716,2,EA,1,100,0.230543
1733214109.999683,681170.000,40716,2,EA,1,100,0.230528
1733214110.065684,681236.000,40732,1,EA,1,100,0.230558
1733214110.132685,681303.000,40750,2,EA,1,100,0.230558
1733214110.199686,681370.000,40750,2,EA,1,100,0.230596
1733214110.265687,681436.000,40766,1,EA,1,100,0.230558
1733214110.332688,681503.000,40781,2,EA,1,100,0.230612
1733214110.399689,681570.000,40781,2,EA,1,100,0.230619
1733214110.465690,681636.000,40797,1,EA,1,100,0.230658
1733214110.532191,681702.500,40815,2,EA,1,100,0.230727
1733214110.598691,681769.000,40815,2,EA,1,100,0.230727
1733214110.665693,681836.000,40833,1,EA,1,100,0.230742
1733214110.732693,681903.000,40848,2,EA,1,100,0.230734
1733214110.799694,681970.000,40848,2,EA,1,100,0.230780
