LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1732955242.424412,568002.000,18262,1,EA,1,100,0.096149
1732955242.491413,568069.000,18281,1,EA,1,100,0.096161
1732955242.557914,568135.500,18299,2,EA,1,100,0.096167
1732955242.624415,568202.000,18299,2,EA,1,100,0.096181
1732955242.691416,568269.000,18315,1,EA,1,100,0.096191
1732955242.757917,568335.500,18332,2,EA,1,100,0.096190
1732955242.824418,568402.000,18332,2,EA,1,100,0.096190
1732955242.891418,568469.000,18348,1,EA,1,100,0.096195
1732955242.957919,568535.500,18366,2,EA,1,100,0.096213
1732955243.024420,568602.000,18366,2,EA,1,100,0.096225
1732955243.091421,568669.000,18384,1,EA,1,100,0.096226
1732955243.157922,568735.500,18399,2,EA,1,100,0.096231
1732955243.224423,568802.000,18399,2,EA,1,100,0.096238
1732955243.291424,568869.000,18416,1,EA,1,100,0.096249
1732955243.357925,568935.500,18433,2,EA,1,100,0.096251
1732955243.424426,569002.000,18433,2,EA,1,100,0.096257
1732955243.491427,569069.000,18451,1,EA,1,100,0.096269
1732955243.557928,569135.500,18468,2,EA,1,100,0.096277
1732955243.624429,569202.000,18468,2,EA,1,100,0.096285
1732955243.690930,569268.500,18485,2,EA,1,100,0.096291
1732955243.757431,569335.000,18485,2,EA,1,100,0.096298
1732955243.824431,569402.000,18502,1,EA,1,100,0.096303
1732955243.890932,569468.500,18519,2,EA,1,100,0.096310
1732955243.957433,569535.000,18519,2,EA,1,100,0.096315
1732955244.024434,569602.000,18536,1,EA,1,100,0.096323
1732955244.090935,569668.500,18550,2,EA,1,100,0.096335
1732955244.157436,569735.000,18550,2,EA,1,100,0.096338
1732955244.224437,569802.000,18567,1,EA,1,100,0.096346
1732955244.290938,569868.500,18584,2,EA,1,100,0.096357
1732955244.357439,569935.000,18584,2,EA,1,100,0.096364
1732955244.424440,570002.000,18601,1,EA,1,100,0.096376
1732955244.490941,570068.500,18615,2,EA,1,100,0.096382
1732955244.557442,570135.000,18615,2,EA,1,100,0.096389
1732955244.624443,570202.000,18633,1,EA,1,100,0.096401
1732955244.690943,570268.500,18651,2,EA,1,100,0.096404
1732955244.757444,570335.000,18651,2,EA,1,100,0.096400
1732955244.824445,570402.000,18668,1,EA,1,100,0.096412
1732955244.890946,570468.500,18683,2,EA,1,100,0.096424
1732955244.957447,570535.000,18683,2,EA,1,100,0.096429
1732955245.024448,570602.000,18700,1,EA,1,100,0.096432
1732955245.090949,570668.500,18716,2,EA,1,100,0.096440
1732955245.157450,570735.000,18716,2,EA,1,100,0.096454
1732955245.223951,570801.500,18734,2,EA,1,100,0.096468
1732955245.290452,570868.000,18734,2,EA,1,100,0.096475
1732955245.357453,570935.000,18750,1,EA,1,100,0.096483
1732955245.423954,571001.500,18767,2,EA,1,100,0.096484
1732955245.490455,571068.000,18767,2,EA,1,100,0.096489
1732955245.557456,571135.000,18783,1,EA,1,100,0.096503
1732955245.623956,571201.500,18803,2,EA,1,100,0.096507
1732955245.690457,571268.000,18803,2,EA,1,100,0.096515
1732955245.757458,571335.000,18819,1,EA,1,100,0.096521
1732955245.823959,571401.500,18834,2,EA,1,100,0.096527
1732955245.890460,571468.000,18834,2,EA,1,100,0.096539
1732955245.957461,571535.000,18851,1,EA,1,100,0.096551
1732955246.023962,571601.500,18868,2,EA,1,100,0.096560
1732955246.090463,571668.000,18868,2,EA,1,100,0.096567
1732955246.157464,571735.000,18884,1,EA,1,100,0.096574
1732955246.223965,571801.500,18902,2,EA,1,100,0.096583
1732955246.290466,571868.000,18902,2,EA,1,100,0.096586
1732955246.357467,571935.000,18918,1,EA,1,100,0.096589
1732955246.423968,572001.500,18935,2,EA,1,100,0.096601
1732955246.490469,572068.000,18935,2,EA,1,100,0.096607
1732955246.557469,572135.000,18951,1,EA,1,100,0.096617
1732955246.623970,572201.500,18969,2,EA,1,100,0.096630
1732955246.690471,572268.000,18969,2,EA,1,100,0.096629
1732955246.757472,572335.000,18985,1,EA,1,100,0.096634
1732955246.823973,572401.500,19002,2,EA,1,100,0.096645
1732955246.890474,572468.000,19002,2,EA,1,100,0.096654
1732955246.956975,572534.500,19021,2,EA,1,100,0.096657
1732955247.023476,572601.000,19021,2,EA,1,100,0.096667
1732955247.090477,572668.000,19038,1,EA,1,100,0.096671
1732955247.156978,572734.500,19052,2,EA,1,100,0.096679
1732955247.223479,572801.000,19052,2,EA,1,100,0.096683
1732955247.290480,572868.000,19070,1,EA,1,100,0.096692
1732955247.356981,572934.500,19086,2,EA,1,100,0.096702
1732955247.423481,573001.000,19086,2,EA,1,100,0.096719
1732955247.490482,573068.000,19103,1,EA,1,100,0.096728
1732955247.556983,573134.500,19125,2,EA,1,100,0.096727
1732955247.623484,573201.000,19125,2,EA,1,100,0.096738
1732955247.690485,573268.000,19142,1,EA,1,100,0.096749
1732955247.756986,573334.500,19160,2,EA,1,100,0.096750
1732955247.823487,573401.000,19160,2,EA,1,100,0.096758
1732955247.890488,573468.000,19177,1,EA,1,100,0.096767
1732955247.956989,573534.500,19192,2,EA,1,100,0.096777
1732955248.023490,573601.000,19192,2,EA,1,100,0.096784
1732955248.090491,573668.000,19211,1,EA,1,100,0.096789
1732955248.156992,573734.500,19227,2,EA,1,100,0.096800
1732955248.223493,573801.000,19227,2,EA,1,100,0.096808
1732955248.290493,573868.000,19247,1,EA,1,100,0.096808
1732955248.356994,573934.500,19261,2,EA,1,100,0.096820
1732955248.423496,574001.000,19261,2,EA,1,100,0.096834
1732955248.490496,574068.000,19278,1,EA,1,100,0.096844
1732955248.556997,574134.500,19297,2,EA,1,100,0.096847
1732955248.623498,574201.000,19297,2,EA,1,100,0.096857
1732955248.690499,574268.000,19314,1,EA,1,100,0.096869
1732955248.757000,574334.500,19331,2,EA,1,100,0.096869
1732955248.823501,574401.000,19331,2,EA,1,100,0.096873
1732955248.890502,574468.000,19348,2,EA,1,100,0.096881
1732955248.957503,574535.000,19348,2,EA,1,100,0.096882
1732955249.023504,574601.000,19364,1,EA,1,100,0.096890
1732955249.090505,574668.000,19381,2,EA,1,100,0.096902
1732955249.157506,574735.000,19381,2,EA,1,100,0.096915
1732955249.223506,574801.000,19397,1,EA,1,100,0.096921
1732955249.290508,574868.000,19415,2,EA,1,100,0.096931
1732955249.357508,574935.000,19415,2,EA,1,100,0.096935
1732955249.423509,575001.000,19433,1,EA,1,100,0.096950
1732955249.490510,575068.000,19450,2,EA,1,100,0.096957
1732955249.557511,575135.000,19450,2,EA,1,100,0.096966
1732955249.623512,575201.000,19467,1,EA,1,100,0.096975
1732955249.690013,575267.500,19482,2,EA,1,100,0.096986
1732955249.756514,575334.000,19482,2,EA,1,100,0.096996
1732955249.823515,575401.000,19500,1,EA,1,100,0.097001
1732955249.890016,575467.500,19518,2,EA,1,100,0.097003
1732955249.956517,575534.000,19518,2,EA,1,100,0.097011
1732955250.023518,575601.000,19534,1,EA,1,100,0.097020
1732955250.090019,575667.500,19549,2,EA,1,100,0.097028
1732955250.156519,575734.000,19549,2,EA,1,100,0.097034
1732955250.223521,575801.000,19565,1,EA,1,100,0.097043
1732955250.290521,575868.000,19583,2,EA,1,100,0.097046
1732955250.357522,575935.000,19583,2,EA,1,100,0.097059
1732955250.423523,576001.000,19599,1,EA,1,100,0.097068
1732955250.490024,576067.500,19616,2,EA,1,100,0.097076
1732955250.556525,576134.000,19616,2,EA,1,100,0.097083
1732955250.623526,576201.000,19633,1,EA,1,100,0.097091
1732955250.690027,576267.500,19650,2,EA,1,100,0.097092
1732955250.756528,576334.000,19650,2,EA,1,100,0.097102
1732955250.823529,576401.000,19666,1,EA,1,100,0.097112
1732955250.890030,576467.500,19685,2,EA,1,100,0.097116
1732955250.956531,576534.000,19685,2,EA,1,100,0.097119
1732955251.023532,576601.000,19700,2,EA,1,100,0.097125
1732955251.090533,576668.000,19700,2,EA,1,100,0.097135
1732955251.156533,576734.000,19717,1,EA,1,100,0.097145
1732955251.223534,576801.000,19736,2,EA,1,100,0.097146
1732955251.290535,576868.000,19736,2,EA,1,100,0.097153
1732955251.356536,576934.000,19753,1,EA,1,100,0.097163
1732955251.423537,577001.000,19769,2,EA,1,100,0.097167
1732955251.490538,577068.000,19769,2,EA,1,100,0.097171
1732955251.556539,577134.000,19786,1,EA,1,100,0.097178
1732955251.623540,577201.000,19803,2,EA,1,100,0.097188
1732955251.690541,577268.000,19803,2,EA,1,100,0.097202
1732955251.757542,577335.000,19820,1,EA,1,100,0.097212
1732955251.824043,577401.500,19836,2,EA,1,100,0.097214
1732955251.890544,577468.000,19836,2,EA,1,100,0.097224
1732955251.956545,577534.000,19854,1,EA,1,100,0.097239
1732955252.023546,577601.000,19874,2,EA,1,100,0.097240
1732955252.090546,577668.000,19874,2,EA,1,100,0.097255
1732955252.156547,577734.000,19891,1,EA,1,100,0.097265
1732955252.223548,577801.000,19910,2,EA,1,100,0.097269
1732955252.290549,577868.000,19910,2,EA,1,100,0.097270
1732955252.356550,577934.000,19927,1,EA,1,100,0.097280
1732955252.423551,578001.000,19943,2,EA,1,100,0.097291
1732955252.490552,578068.000,19943,2,EA,1,100,0.097307
1732955252.556553,578134.000,19960,1,EA,1,100,0.097318
1732955252.623554,578201.000,19983,2,EA,1,100,0.097318
1732955252.690555,578268.000,19983,2,EA,1,100,0.097318
1732955252.757056,578334.500,19999,2,EA,1,100,0.097323
1732955252.823557,578401.000,19999,2,EA,1,100,0.097330
1732955252.890558,578468.000,20015,1,EA,1,100,0.097348
1732955252.957058,578534.500,20035,2,EA,1,100,0.097350
1732955253.023559,578601.000,20035,2,EA,1,100,0.097352
1732955253.090560,578668.000,20051,1,EA,1,100,0.097361
1732955253.157061,578734.500,20066,2,EA,1,100,0.097378
1732955253.223562,578801.000,20066,2,EA,1,100,0.097387
1732955253.290563,578868.000,20083,1,EA,1,100,0.097393
1732955253.357064,578934.500,20100,2,EA,1,100,0.097402
1732955253.423565,579001.000,20100,2,EA,1,100,0.097409
1732955253.489566,579067.000,20116,1,EA,1,100,0.097424
